Sat Jan 11 00:16:14 2020       
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 418.40.04    Driver Version: 418.40.04    CUDA Version: 10.1     |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|===============================+======================+======================|
|   0  Tesla V100-SXM2...  Off  | 00000000:89:00.0 Off |                    0 |
| N/A   30C    P0    55W / 300W |      0MiB / 32480MiB |      0%      Default |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                       GPU Memory |
|  GPU       PID   Type   Process name                             Usage      |
|=============================================================================|
|  No running processes found                                                 |
+-----------------------------------------------------------------------------+
Using device: cuda
/users/40160005/gridware/share/python/3.6.4/lib/python3.6/site-packages/torch/optim/lr_scheduler.py:100: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule.See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  "https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate", UserWarning)
Epoch 001 [180/255]: Loss: 5.2852 Acc: 0.0054 (75.17s)
Epoch 001 [181/255]: Loss: 5.2849 Acc: 0.0055 (75.58s)
Epoch 001 [182/255]: Loss: 5.2849 Acc: 0.0055 (76.00s)
Epoch 001 [183/255]: Loss: 5.2847 Acc: 0.0056 (76.39s)
Epoch 001 [184/255]: Loss: 5.2844 Acc: 0.0056 (77.09s)
Epoch 001 [185/255]: Loss: 5.2842 Acc: 0.0056 (77.42s)
Epoch 001 [186/255]: Loss: 5.2833 Acc: 0.0055 (77.79s)
Epoch 001 [187/255]: Loss: 5.2831 Acc: 0.0055 (78.10s)
Epoch 001 [188/255]: Loss: 5.2831 Acc: 0.0055 (78.48s)
Epoch 001 [189/255]: Loss: 5.2825 Acc: 0.0055 (78.83s)
Epoch 001 [190/255]: Loss: 5.2820 Acc: 0.0054 (79.21s)
Epoch 001 [191/255]: Loss: 5.2820 Acc: 0.0054 (79.59s)
Epoch 001 [192/255]: Loss: 5.2818 Acc: 0.0054 (79.94s)
Epoch 001 [193/255]: Loss: 5.2818 Acc: 0.0055 (80.31s)
Epoch 001 [194/255]: Loss: 5.2816 Acc: 0.0055 (80.69s)
Epoch 001 [195/255]: Loss: 5.2816 Acc: 0.0054 (81.03s)
Epoch 001 [196/255]: Loss: 5.2814 Acc: 0.0054 (81.43s)
Epoch 001 [197/255]: Loss: 5.2812 Acc: 0.0054 (81.77s)
Epoch 001 [198/255]: Loss: 5.2807 Acc: 0.0054 (82.12s)
Epoch 001 [199/255]: Loss: 5.2807 Acc: 0.0055 (82.48s)
Epoch 001 [200/255]: Loss: 5.2806 Acc: 0.0056 (82.82s)
Epoch 001 [201/255]: Loss: 5.2803 Acc: 0.0056 (83.16s)
Epoch 001 [202/255]: Loss: 5.2799 Acc: 0.0056 (83.48s)
Epoch 001 [203/255]: Loss: 5.2797 Acc: 0.0057 (83.78s)
Epoch 001 [204/255]: Loss: 5.2791 Acc: 0.0057 (84.15s)
Epoch 001 [205/255]: Loss: 5.2784 Acc: 0.0058 (84.51s)
Epoch 001 [206/255]: Loss: 5.2783 Acc: 0.0058 (84.92s)
Epoch 001 [207/255]: Loss: 5.2779 Acc: 0.0059 (85.29s)
Epoch 001 [208/255]: Loss: 5.2771 Acc: 0.0059 (85.70s)
Epoch 001 [209/255]: Loss: 5.2762 Acc: 0.0058 (86.05s)
Epoch 001 [210/255]: Loss: 5.2755 Acc: 0.0058 (86.37s)
Epoch 001 [211/255]: Loss: 5.2752 Acc: 0.0058 (86.73s)
Epoch 001 [212/255]: Loss: 5.2736 Acc: 0.0059 (87.08s)
Epoch 001 [213/255]: Loss: 5.2742 Acc: 0.0059 (87.50s)
Epoch 001 [214/255]: Loss: 5.2738 Acc: 0.0060 (87.86s)
Epoch 001 [215/255]: Loss: 5.2737 Acc: 0.0060 (88.23s)
Epoch 001 [216/255]: Loss: 5.2736 Acc: 0.0059 (88.59s)
Epoch 001 [217/255]: Loss: 5.2737 Acc: 0.0059 (88.93s)
Epoch 001 [218/255]: Loss: 5.2734 Acc: 0.0059 (89.33s)
Epoch 001 [219/255]: Loss: 5.2736 Acc: 0.0059 (89.71s)
Epoch 001 [220/255]: Loss: 5.2736 Acc: 0.0058 (90.09s)
Epoch 001 [221/255]: Loss: 5.2732 Acc: 0.0058 (90.45s)
Epoch 001 [222/255]: Loss: 5.2730 Acc: 0.0058 (90.81s)
Epoch 001 [223/255]: Loss: 5.2723 Acc: 0.0057 (91.20s)
Epoch 001 [224/255]: Loss: 5.2720 Acc: 0.0057 (91.53s)
Epoch 001 [225/255]: Loss: 5.2715 Acc: 0.0058 (91.89s)
Epoch 001 [226/255]: Loss: 5.2712 Acc: 0.0058 (92.23s)
Epoch 001 [227/255]: Loss: 5.2704 Acc: 0.0058 (92.61s)
Epoch 001 [228/255]: Loss: 5.2701 Acc: 0.0059 (92.96s)
Epoch 001 [229/255]: Loss: 5.2691 Acc: 0.0059 (93.31s)
Epoch 001 [230/255]: Loss: 5.2688 Acc: 0.0060 (93.70s)
Epoch 001 [231/255]: Loss: 5.2679 Acc: 0.0061 (94.06s)
Epoch 001 [232/255]: Loss: 5.2677 Acc: 0.0061 (94.44s)
Epoch 001 [233/255]: Loss: 5.2670 Acc: 0.0062 (94.72s)
Epoch 001 [234/255]: Loss: 5.2667 Acc: 0.0063 (95.00s)
Epoch 001 [235/255]: Loss: 5.2663 Acc: 0.0063 (95.28s)
Epoch 001 [236/255]: Loss: 5.2665 Acc: 0.0062 (95.58s)
Epoch 001 [237/255]: Loss: 5.2668 Acc: 0.0062 (95.83s)
Epoch 001 [238/255]: Loss: 5.2668 Acc: 0.0062 (96.07s)
Epoch 001 [239/255]: Loss: 5.2664 Acc: 0.0061 (96.26s)
